ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
1982,shift5552,Derivation,6,ACCEPTED,→,squirrel (Sciurus),4237,Siberian flying squirrel,4064,Irish Gaelic,210,Irish Gaelic,210,squirrel (Sciurus),Siberian flying squirrel,iora,iora eitilte
2392,shift0261,Semantic evolution,2,ACCEPTED,—,thief,2169,adulterer,1946,Old Irish,229,Old Irish,229,thief,adulterer,taide,taide
2620,shift3318,Polysemy,6,ACCEPTED,→,hand/arm,1550,handwriting,1553,Irish Gaelic,210,Irish Gaelic,210,hand,handwriting,lámh,lámh
2698,shift5227,Polysemy,11,ACCEPTED,→,grandfather,826,ancestor,1990,Welsh,208,Welsh,208,grandfather,"forefather, ancestor",taid,taid
3013,shift0677,Derivation,7,ACCEPTED,→,tailor&#39;s thimble,2116,foxglove (Digitalis L.),1361,Irish Gaelic,210,Irish Gaelic,210,tailor's thimble,purple foxglove,méaracán,méaracán dearg
3032,shift0630,Polysemy,10,ACCEPTED,→,glass (material),791,window,89,Welsh,208,Welsh,208,glass (material),window,gwydr,gwydr
3120,shift8637,Derivation,5,NEW,→,seven,3999,Pleiades,410,Scottish Gaelic,863,Scottish Gaelic,863,seven,Pleiades,seachd,Na Seachd-Reultan
3263,shift0007,Semantic evolution,21,NEW,→,"to turn, rotate (intr.)",3327,to become,2312,Irish Gaelic,210,Irish Gaelic,210,"to turn, rotate (intr.)",to become,iompaigh,iompaigh
3328,shift3854,Polysemy,1,ACCEPTED,→,to deprive,2509,to steal,3220,Old Irish,229,Old Irish,229,to deprive,to steal,gataid,gataid
3453,shift2044,Polysemy,7,ACCEPTED,—,thick,2167,"dense, thick (liquid)",4414,Welsh,208,Welsh,208,thick (in dimension),thick (in density),tew,tew
3638,shift0035,Semantic evolution,26,NEW,→,to see/to look at,3121,to have opinion,2752,Irish Gaelic,210,Irish Gaelic,210,to see/to look at,to have opinion,feic,feic
3672,shift6859,Motivation,9,ACCEPTED,→,&lt;foreign country&gt;,1209,guinea pig (Cavia porcellus),860,Irish Gaelic,210,Irish Gaelic,210,Guinea (a country in West Africa),guinea pig (Cavia porcellus),An Ghuine,muc ghuine
3771,shift0796,Derivation,7,ACCEPTED,→,to carry,2401,pregnant,456,Breton,209,Breton,209,bear,pregnant,dougen,dougarez
3874,shift5893,Derivation,6,ACCEPTED,→,milk,657,Milky Way,659,Welsh,208,Welsh,208,milk,Milky Way,llaeth,Llwybr Llaethog
4153,shift4085,Polysemy,2,NEW,→,eyebrow,3897,"edge, border",3810,Welsh,208,Welsh,208,eyebrow,"edge, brow (of a hill)",ael,ael
4402,shift0220,Polysemy,8,NEW,→,strong,4304,strong (of liquid or smell),4305,Irish Gaelic,210,Irish Gaelic,210,strong,strong (of liquid or smell),laidir,laidir
